address,#hits
23.246.10.140,1575
23.246.11.150,1575
23.246.17.170,1572
198.38.109.218,1566
23.246.4.169,1565
23.246.17.140,1560
23.246.4.168,1559
45.57.45.138,1549
23.246.7.165,1534
23.246.14.171,1534
23.246.46.135,1534
45.57.22.134,1532
23.246.17.152,1532
23.246.17.156,1528
23.246.17.166,1524
23.246.58.159,1512
45.57.27.139,1511
213.120.180.97,1505
23.246.14.151,1500
45.57.10.140,1489
23.246.26.130,1478
23.246.6.152,1478
23.246.15.152,1472
23.246.4.160,1469
45.57.0.148,1468
23.246.46.139,1465
45.57.44.138,1464
23.246.51.142,1461
45.57.26.142,1460
45.57.44.131,1459
198.38.118.155,1457
45.57.38.142,1456
23.246.46.143,1453
23.246.46.141,1451
23.246.17.142,1449
23.246.6.148,1438
23.246.4.162,1438
198.45.50.141,1434
198.45.50.146,1432
23.246.50.137,1425
23.246.17.147,1424
45.57.10.137,1421
23.246.14.173,1413
23.246.6.202,1412
45.57.0.142,1410
45.57.27.138,1409
45.57.27.135,1404
23.246.44.145,1403
198.45.50.143,1401
23.246.15.131,1391
45.57.44.135,1390
198.45.50.144,1388
23.246.26.139,1387
198.45.50.142,1384
108.175.42.196,1379
45.57.44.130,1379
198.38.116.157,1364
45.57.26.135,1362
45.57.26.141,1358
23.246.17.157,1351
23.246.50.140,1351
23.246.44.143,1348
198.38.110.159,1336
23.246.27.138,1328
45.57.26.144,1328
45.57.44.136,1326
23.246.17.148,1318
45.57.0.144,1318
23.246.15.154,1318
23.246.4.170,1317
23.246.29.139,1314
23.246.17.150,1314
23.246.17.162,1313
23.246.11.153,1309
23.246.28.138,1303
23.246.17.159,1300
45.57.27.145,1300
23.246.50.136,1295
23.246.17.154,1292
23.246.4.172,1291
23.246.17.146,1291
45.57.0.135,1288
45.57.26.146,1285
23.246.58.160,1284
23.246.10.143,1284
23.246.4.167,1282
23.246.17.144,1278
23.246.17.171,1276
23.246.29.130,1267
23.246.4.164,1260
45.57.26.143,1257
45.57.5.133,1256
23.246.5.164,1255
45.57.0.136,1254
23.246.11.145,1245
23.246.17.167,1244
108.175.42.178,1243
23.246.7.173,1238
23.246.4.166,1237
45.57.26.138,1235
198.38.115.153,1232
23.246.15.143,1228
23.246.28.139,1223
23.246.5.166,1222
23.246.17.169,1221
45.57.10.135,1221
23.246.16.141,1221
45.57.39.146,1219
45.57.27.141,1215
23.246.11.152,1213
45.57.0.139,1209
23.246.4.163,1207
150.101.41.101,1206
23.246.5.169,1204
23.246.16.149,1199
198.45.50.140,1196
108.175.42.187,1190
45.57.22.135,1189
23.246.4.171,1187
23.246.5.168,1185
23.246.28.137,1183
45.57.0.149,1180
45.57.22.136,1180
23.246.7.162,1178
23.246.28.134,1177
198.38.118.157,1170
45.57.10.136,1170
23.246.27.135,1168
198.45.62.168,1168
23.246.17.151,1161
23.246.4.165,1158
45.57.38.143,1156
162.223.18.131,1156
45.57.26.147,1155
23.246.5.172,1153
23.246.8.161,1152
23.246.10.145,1142
198.38.109.219,1140
23.246.17.165,1140
23.246.45.150,1133
23.246.6.160,1131
45.57.27.137,1130
45.57.38.146,1128
23.246.16.148,1125
45.57.39.143,1119
23.246.5.165,1117
23.246.17.145,1113
45.57.38.144,1112
23.246.7.158,1108
198.45.62.152,1107
23.246.5.161,1104
23.246.29.132,1103
150.101.41.105,1102
23.246.17.163,1099
23.246.27.133,1099
45.57.0.141,1097
23.246.14.136,1096
23.246.4.161,1094
45.57.26.145,1094
37.77.186.135,1090
23.246.28.132,1088
45.57.39.145,1085
45.57.39.144,1085
45.57.0.145,1084
108.175.38.178,1073
23.246.28.133,1070
45.57.0.137,1055
45.57.10.141,1053
23.246.50.134,1053
23.246.28.130,1051
198.38.117.163,1049
23.246.17.143,1047
23.246.17.155,1046
45.57.0.143,1045
108.175.42.168,1041
150.101.41.103,1032
45.57.36.134,1030
23.246.10.153,1028
45.57.27.136,1028
45.57.0.147,1024
23.246.8.162,1023
23.246.50.139,1022
23.246.14.144,1021
198.38.108.211,1018
108.175.42.152,1014
23.246.29.134,1014
23.246.15.148,1012
23.246.29.135,1011
23.246.45.146,1010
23.246.6.166,1009
23.246.26.133,1009
23.246.5.170,1008
37.77.186.139,1006
23.246.26.131,1002
23.246.26.137,1000
23.246.15.153,996
23.246.15.133,995
23.246.28.136,991
23.246.28.131,988
45.57.0.138,986
45.57.10.139,982
198.38.117.155,981
23.246.16.142,979
23.246.15.145,978
45.57.27.146,974
23.246.26.135,970
23.246.16.162,966
23.246.16.160,966
198.38.111.149,963
23.246.5.160,962
23.246.29.136,962
23.246.46.138,961
23.246.58.135,960
76.9.223.13,960
45.57.38.145,960
23.246.7.209,959
23.246.10.147,958
37.77.186.143,956
76.9.223.12,954
108.175.43.188,954
23.246.5.163,952
23.246.10.142,950
23.246.58.147,944
23.246.16.144,941
198.38.125.209,939
23.246.15.170,937
45.57.0.140,936
23.246.27.131,936
23.246.7.204,934
198.38.117.165,933
23.246.27.139,933
23.246.51.135,930
23.246.58.136,929
23.246.10.151,929
37.77.186.144,925
23.246.15.171,925
198.38.111.161,923
23.246.29.131,920
37.77.186.131,919
45.57.36.136,919
198.38.108.210,916
45.57.36.131,916
23.246.15.147,914
23.246.14.142,912
23.246.27.130,911
23.246.14.146,910
198.45.62.167,910
198.38.108.221,908
23.246.7.210,907
